id,nome,siglaPartido,siglaUf,idLegislatura
74159,Odair Cunha,PT,MG,56
178868,Odorico Monteiro,PSB,CE,56
204498,Olival Marques,DEM,PA,56
74399,Onyx Lorenzoni,DEM,RS,56
178987,Orlando Silva,PCdoB,SP,56
204363,Osires Damaso,PSC,TO,56
73463,Osmar Serraglio,PP,PR,56
73692,Osmar Terra,MDB,RS,56
204422,Ossesio Silva,PRB,PE,56
204475,Otaci Nascimento,SOLIDARIEDADE,RR,56
141515,Otavio Leite,PSDB,RJ,56
204441,Otoni de Paula,PSC,RJ,56
204573,Otto Alencar Filho,PSD,BA,56
160556,Padre João,PT,MG,56
74319,Paes Landim,PTB,PI,56
160642,Pastor Eurico,PATRI,PE,56
204553,Pastor Sargento Isidório,AVANTE,BA,56
205535,Patricia Ferraz,PR,AP,56
218741,Patrick Dorneles,PSDB,PB,56
74160,Patrus Ananias,PT,MG,56
204377,Paula Belmonte,PPS,DF,56
171617,Paulão,PT,AL,56
141518,Paulinho da Força,SOLIDARIEDADE,SP,56
141516,Paulo Abi-Ackel,PSDB,MG,56
178860,Paulo Azi,DEM,BA,56
204538,Paulo Bengtson,PTB,PA,56
193726,PAULO EDUARDO MARTINS,PSC,PR,56
160517,Paulo Foletto,PSB,ES,56
160558,PAULO FREIRE COSTA,PR,SP,56
204461,Paulo Ganime,NOVO,RJ,56
204492,Paulo Guedes,PT,MG,56
74574,Paulo Magalhães,PSD,BA,56
128760,Paulo Marinho Jr,PP,MA,56
74400,Paulo Pimenta,PT,RS,56
133968,Paulo Ramos,PDT,RJ,56
141488,Paulo Teixeira,PT,SP,56
216544,Paulo Vicente Caleffi,PSD,RS,56
215045,Pedro Augusto,PSD,RJ,56
90201,PEDRO AUGUSTO BEZERRA,PTB,CE,56
178912,Pedro Cunha Lima,PSDB,PB,56
122974,Pedro Lucas Fernandes,PTB,MA,56
204395,Pedro Lupion,DEM,PR,56
122158,Pedro Paulo,DEM,RJ,56
160604,Pedro Uczai,PT,SC,56
178844,Pedro Vilela,PSDB,AL,56
204406,Pedro Westphalen,PP,RS,56
73943,PERPÉTUA ALMEIDA,PCdoB,AC,56
204524,Pinheirinho,PP,MG,56
204529,Policial Katia Sastre,PR,SP,56
73486,Pompeo de Mattos,PDT,RS,56
160601,Pr. Marco Feliciano,PODE,SP,56
160639,Prof Dorinha Seabra Rezende,DEM,TO,56
204390,Professor Alcides,PP,GO,56
204383,Professor Israel Batista,PV,DF,56
204446,Professor Joziel,PSL,RJ,56
204565,Professora Dayane Pimentel,PSL,BA,56
160641,Professora Marcivania,PCdoB,AP,56
204467,Professora Rosa Neide,PT,MT,56
215361,Rachel Marques,PT,CE,56
178951,Rafael Motta,PSB,RN,56
216313,Rafafá,PSDB,PB,56
204567,Raimundo Costa,PRP,BA,56
141523,Raul Henry,MDB,PE,56
74161,Reginaldo Lopes,PT,MG,56
205865,Reinhold Stephanes Junior,PSD,PR,56
178925,Rejane Dias,PT,PI,56
178989,Renata Abreu,PODE,SP,56
214477,Renato Queiroz,MDB,RR,56
211498,Renato Santana,PSD,DF,56
73801,Renildo Calheiros,PCdoB,PE,56
73788,Ricardo Barros,PP,PR,56
215042,Ricardo da Karol,PATRI,RJ,56
204362,Ricardo Guidi,PSD,SC,56
160655,Ricardo Izar,PP,SP,56
211649,Ricardo Pericar,PSL,RJ,56
213274,Ricardo Silva,PSB,SP,56
178920,Ricardo Teobaldo,PODE,PE,56
204489,Robério Monteiro,PDT,CE,56
152610,Roberto Alves,PRB,SP,56
160653,Roberto de Lucena,PODE,SP,56
74305,Roberto Pessoa,PSDB,CE,56
204530,Rodrigo Agostinho,PSB,SP,56
204366,Rodrigo Coelho,PSB,SC,56
141531,Rodrigo de Castro,PSDB,MG,56
74693,Rodrigo Maia,DEM,RJ,56
204480,Rogério Correia,PT,MG,56
160651,Rogério Peninha Mendonça,MDB,SC,56
178861,Ronaldo Carletto,PP,BA,56
122466,Ronaldo Martins,PRB,CE,56
204525,Rosana Valle,PSB,SP,56
178945,Rosangela Gomes,PRB,RJ,56
204357,Rose Modesto,PSDB,MS,56
178935,Rossoni,PSDB,PR,56
73466,Rubens Bueno,PPS,PR,56
74371,Rubens Otoni,PT,GO,56
178887,Rubens Pereira Júnior,PCdoB,MA,56
73604,Rui Falcão,PT,SP,56
221157,Rui Godinho,PSL,SC,56
160635,Ruy Carneiro,PSDB,PB,56
204535,Sâmia Bomfim,PSOL,SP,56
178990,Samuel Moreira,PSDB,SP,56
204416,SANDERSON,PSL,RS,56
160621,Sandro Alex,PSD,PR,56
90842,Santini,PTB,RS,56
219599,Sargento Alexandre,PODE,SP,56
204387,Sargento Fahur,PSD,PR,56
204399,Schiavinato,PP,PR,56
178921,Sebastião Oliveira,PR,PE,56
73808,Sérgio Brito,PSD,BA,56
178933,Sergio Souza,MDB,PR,56
204438,Sergio Toledo,PR,AL,56
178874,Sergio Vidigal,PDT,ES,56
167614,Severino Ninho,PSB,PE,56
204437,Severino Pessoa,PRB,AL,56
178961,Shéridan,PSDB,RR,56
204557,Sidney Leite,PSD,AM,56
74356,Silas Câmara,PRB,AM,56
204360,Silvia Cristina,PDT,RO,56
204425,Silvio Costa Filho,PRB,PE,56
168175,Simplício Araújo,SOLIDARIEDADE,MA,56
178946,Soraya Santos,PR,RJ,56
178947,Sóstenes Cavalcante,DEM,RJ,56
92776,Stefano Aguiar,PSD,MG,56
177282,Subtenente Gonzaga,PDT,MG,56
204534,Tabata Amaral,PDT,SP,56
178922,Tadeu Alencar,PSB,PE,56
74806,Tadeu Filippelli,MDB,DF,56
204464,Talíria Petrone,PSOL,RJ,56
206231,Ted Conti,PSB,ES,56
178901,Tereza Cristina,DEM,MS,56
204466,Tereza Nelma,PSDB,AL,56
180018,Thiago Cartaxo,PODE,RN,56
195866,Vaidon Oliveira,UNIÃO,CE,56
157130,Túlio Gadêlha,REDE,PE,57
137070,Vicentinho Júnior,PP,TO,57
204478,Vinicius Farah,UNIÃO,RJ,56
160518,Weliton Prado,SOLIDARIEDADE,MG,57
178952,Walter Alves,MDB,RN,56
204505,Vavá Martins,REPUBLICANOS,PA,56
141553,Vanderlei Macris,PSDB,SP,56
74376,Vander Loubet,PT,MS,57
204396,Vermelho,PP,PR,57
143084,Tiago Dimas,PODE,TO,57
160632,Zé Silva,SOLIDARIEDADE,MG,57
204517,Zé Vitor,PL,MG,57
204463,Wladimir Garotinho,PSD,RJ,56
74043,Wellington Roberto,PL,PB,57
204532,Vinicius Poit,NOVO,SP,56
178863,Uldurico Junior,MDB,BA,56
197438,Tito,AVANTE,BA,56
204483,Vilson da Fetaemg,PSB,MG,56
204519,Tiago Mitraud,NOVO,MG,56
74044,Wilson Santiago,REPUBLICANOS,PB,57
178934,Toninho Wandscheer,PP,PR,57
178992,Vitor Lippi,PSDB,SP,57
160610,Valmir Assunção,PT,BA,57
160569,Waldenor Pereira,PT,BA,57
178889,Zé Carlos,PT,MA,56
204559,Zé Neto,PT,BA,57
141555,Vinicius Carvalho,REPUBLICANOS,SP,57
74439,Wolney Queiroz,PDT,PE,56
160592,Zeca Dirceu,PT,PR,57
74283,Vicentinho,PT,SP,57
204385,Valdevan Noventa,PL,SE,56
160591,Vinicius Gurgel,PL,AP,57
160976,Tiririca,PL,SP,57
215044,Vivi Reis,PSOL,PA,56
178862,Tia Eron,REPUBLICANOS,BA,56
216545,Totonho Lopes,PDT,CE,56
141552,Valtenir Pereira,MDB,MT,57
178888,Victor Mendes,MDB,MA,56
219568,Tiago Andrino,PSB,TO,56
